"id","lat","lon","juosta","pavadinimas","kodas","map_id"
733,NULL,NULL,NULL,NULL,"D5",254
734,54.67375,25.202115,1,"Architektų / Erfurto sankryža","VD4.1",1029
735,54.67375,25.202115,2,"Architektų / Erfurto sankryža","1029 D9",1029
737,NULL,NULL,2,NULL,"VD2.2",217
738,NULL,NULL,1,NULL,"VD2.1",217
739,NULL,NULL,2,NULL,"VD1.2",217
740,NULL,NULL,1,NULL,"VD2.1",118
742,NULL,NULL,NULL,NULL,"D20",216
743,NULL,NULL,NULL,NULL,"D19",216
744,NULL,NULL,NULL,NULL,"D18",216
745,NULL,NULL,NULL,NULL,"D17",216
746,NULL,NULL,NULL,NULL,"D16",216
747,NULL,NULL,NULL,NULL,"D15",216
748,NULL,NULL,NULL,NULL,"D14",216
749,NULL,NULL,NULL,NULL,"D13",216
750,NULL,NULL,1,NULL,"VD11.1",215
751,NULL,NULL,NULL,NULL,"D10",216
752,NULL,NULL,NULL,NULL,"D9",216
753,NULL,NULL,NULL,NULL,"D8",216
754,NULL,NULL,NULL,NULL,"D7",216
755,NULL,NULL,NULL,NULL,"D6",216
756,NULL,NULL,NULL,NULL,"D5",216
757,NULL,NULL,NULL,NULL,"D4",216
758,NULL,NULL,NULL,NULL,"D3",216
759,NULL,NULL,NULL,NULL,"D2",216
760,54.67375,25.202115,3,"Architektų / Erfurto sankryža","VD4.3",1029
761,NULL,NULL,1,NULL,"VD1.1",609
762,NULL,NULL,1,NULL,"VD2.1",609
763,NULL,NULL,2,NULL,"VD2.2",609
764,NULL,NULL,1,NULL,"VD3.1",609
765,NULL,NULL,2,NULL,"VD3.2",609
766,NULL,NULL,1,NULL,"VD4.1",609
770,NULL,NULL,NULL,NULL,"D2",608
771,NULL,NULL,NULL,NULL,"121 D8",121
776,NULL,NULL,2,NULL,"vd4.2",1009
777,NULL,NULL,NULL,NULL,"1009 D10",1009
778,NULL,NULL,2,NULL,"vd5.2",1009
779,NULL,NULL,1,NULL,"vd6.1",1009
782,NULL,NULL,1,NULL,"VD1.1",1027
783,NULL,NULL,2,NULL,"VD1.2",1027
784,NULL,NULL,1,NULL,"VD2.1",1027
785,NULL,NULL,2,NULL,"VD2.2",1027
786,NULL,NULL,1,NULL,"VD3.1",1027
787,NULL,NULL,2,NULL,"VD3.2",1027
788,NULL,NULL,1,NULL,"VD4.1",1027
789,NULL,NULL,2,NULL,"VD4.2",1027
790,NULL,NULL,1,NULL,"VD2.1",1030
791,NULL,NULL,1,NULL,"VD3.1",1030
792,NULL,NULL,1,NULL,"VD4.1",1030
793,NULL,NULL,1,NULL,"VD1.1",1031
794,NULL,NULL,2,NULL,"VD1.2",1031
799,NULL,NULL,NULL,NULL,"D16",214
800,NULL,NULL,NULL,NULL,"D13",214
801,NULL,NULL,NULL,NULL,"D12",214
