K;FD;DET;;
113 VD1.2;113 D2;1163;;
113 VD2.1;113 D3;1164;;
113 VD2.2;113 D4;1165;;
113 VD3.2;113 D6;1167;;
113 VD6.1;113 D10;1171;;
113 VD6.2;113 D11;1184;;
114 D1;114 D17;333;;
114 D2;114 D18;334;;
114 VD2.1;114 D2;32;;
114 VD2.2;114 D3;320;;
114 VD2.3;114 D4;321;;
114 VD4.1;114 D7;324;;
114 VD4.2;114 D8;325;;
114 VD4.3;114 D9;326;;
114 VD5.2;114 D11;328;;
114 VD5.3;114 D12;329;;
114 VD7.1;114 D15;331;;
114 VD8.1;114 D16;332;;
115 D1;115 D1;365;;
115 D10;115 D10;373;;
115 D11;115 D11;374;;
115 D12;115 D12;375;;
115 D13;115 D13;376;;
115 D14;115 D14;377;;
115 D2;115 D2;366;;
115 D3;115 D3;367;;
115 D4;115 D4;368;;
115 D5;115 D5;369;;
115 D6;115 D6;37;;
115 D7;115 D7;370;;
115 D8;115 D8;371;;
115 D9;115 D9;372;;
116 D10;116 D10;396;;
116 D11;116 D11;397;;
116 D15;116 D15;40;;
116 D16;116 D16;400;;
116 D17;116 D17;401;;
116 D2;116 D2;389;;
116 D3;116 D3;39;;
116 D5;116 D5;391;;
116 D6;116 D6;392;;
116 D7;116 D7;393;;
117 D1;117 D3;261;;
117 D2;117 D4;262;;
117 D3;117 D5;263;;
117 D4;117 D6;264;;
117 VD1.1;117 D1;26;;
117 VD1.2;117 D2;260;;
118 VD1.1;118 D1;154;;
118 VD1.2;118 D2;648;;
118 VD1.3;118 D3;511;;
118 VD2.1;118 D4;740;;
118 VD4.1;118 D6;1045;;
118 VD4.2;118 D7;1046;;
118 VD4.3;118 D8;1043;;
119 VD1.1;119 D1;1015;;
119 VD1.1;119 D1;1015;;
119 VD1.2;119 D2;1016;;
119 VD2.1;119 D3;1017;;
119 VD3.1;119 D4;1019;;
119 VD3.2;119 D5;102;;
119 VD4.1;119 D8;1022;;
119 VD4.2;119 D9;1023;;
119 VD5.1;119 D6;1020;;
119 VD5.2;119 D7;1021;;
120 VD1.1;120 D1;1024;;
120 VD2.1;120 D2;1025;;
121 D1;121 D1;1051;;
121 D10;121 D10;1052;;
121 D11;121 D11;1053;;
121 D2;121 D2;1018;;
121 D5;121 D5;1063;;
121 D7;121 D7;1060;;
121 D9;121 D9;1058;;
151 VD1.1;151 D1;1955;;
151 VD2.1;151 D2;1972;;
151 VD2.2;151 D3;1047;;
152 VD1.1;152 D1;105;;
152 VD2.1;152 D3;1026;;
152 VD3.1;152 D4;999;;
152 VD4.1;152 D5;998;;
152 VD4.2;152 D6;997;;
152 VD6.1;152 D8;995;;
153 VD1.1;153 D1;300;;
153 VD1.2;153 D2;30;;
