K;FD;DET;;
;106 D9;1159;;
;107 D10;136;;
;107 D11;135;;
;107 D14;137;;
;107 D9;14;;
;109 D3;184;;
;109 D4;185;;
;109 D8;189;;
;109 D9;19;;
;110 D13;215;;
;110 D15;216;;
;110 D16;217;;
;110 D6;209;;
;110 D7;21;;
;111 D3;242;;
;111 D4;243;;
;111 D8;247;;
;111 D9;248;;
;112 D3;1168;;
;112 D4;1172;;
;112 D7;1173;;
;112 D8;1175;;
;112 D9;1177;;
;113 D7;1180;;
;113 D8;1169;;
;113 D9;1170;;
;114 D13;323;;
;114 D14;33;;
;114 D6;330;;
;116 D1;388;;
;116 D12;398;;
;116 D13;265;;
;116 D14;267;;
;116 D8;390;;
;116 D9;394;;
;117 D7;399;;
;118 D10;4;;
;118 D11;1048;;
;118 D12;1050;;
;118 D5;1055;;
;121 D3;1062;;
;121 D32;1065;;
;121 D4;1066;;
;121 D6;1242;;
;121 D8;771;;
;152 D7;996;;
;152 D9;994;;
;153 D12;3;;
;153 D13;384;;
;153 D6;297;;
;153 D7;303;;
;154 D1;414;;
;154 D3;1422;;
;155 D5;1186;;
;207 D1;878;;
;211 D14;589;;
;214 D2;810;;
;214 D5;808;;
;214 D9;804;;
;215 D19;1357;;
;215 D2;1362;;
;215 D9;1354;;
;251 D12;713;;
;255 D3;690;;
;255 D4;69;;
;315 D7;518;;
;354 D2;449;;
;354 D3;448;;
;404 D10;1971;;
;404 D11;1376;;
;404 D12;1377;;
;404 D13;1378;;
;404 D14;1415;;
;404 D15;1416;;
;404 D16;1417;;
;404 D17;1418;;
;404 D18;1419;;
;404 D19;1420;;
;404 D9;1970;;
;405 D1;1535;;
;405 D2;1536;;
;405 D4;1538;;
;407 D5;1564;;
;451 D5;1668;;
;501 D8;1007;;
;502 D10;1059;;
;505 D1;1108;;
;506 D1;1118;;
;506 D4;1130;;
;508 D8;1148;;
;513 D12;1613;;
;513 D13;1614;;
;513 D14;1615;;
;516 D6;2;;
;522 D5;286;;
;552 D1;344;;
;603 D11;1271;;
;605 D4;1277;;
;607 D4;1799;;
;610 D6;1191;;
;702 D6;1190;;
;702 D7;12;;
;1005 D3;593;;
;1005 D8;594;;
;1008 D10;1206;;
;1008 D9;117;;
;1009 D1;595;;
;1009 D10;777;;
;1011 D3;1938;;
;1019 D3;282;;
;1029 D9;735;;
;1033 D1;156;;
;1033 D10;1566;;
;1033 D11;1558;;
;1033 D2;1553;;
;1033 D3;1551;;
;1033 D4;1565;;
;1033 D5;1552;;
;1033 D6;1550;;
;1033 D7;157;;
;1033 D8;1534;;
;1033 D9;1559;;
;742 D13;1618;;
;742 D2;1617;;
;761 D14;1742;;
;762 D10;1726;;
;762 D8;1724;;
;764 D11;1714;;
;801 D4;1497;;
;803 D6;1477;;
;829 D1;1953;;
;829 D2;1952;;
;829 D3;1947;;
;829 D4;1946;;
;829 D5;1951;;
;829 D6;1945;;
;829 D7;1949;;
;842 D1;1399;;
;842 D13;1493;;
;842 D14;150;;
;842 D15;1505;;
;842 D16;1533;;
